#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:P_deduplicated_no_nonsense" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:P_deduplicated_no_nonsense" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:P_deduplicated_no_nonsense" spec="beast.evolution.tree.Tree">
#                <trait dateFormat="yyyy-M-dd" id="dateTrait.t:P_deduplicated_no_nonsense" spec="beast.evolution.tree.TraitSet" traitname="date" value="AF212302=1999-12-08,AF376747=2001-05-04,AJ627196=2004-02-10,AY988601=2004-01-01,FJ513078=2007-01-01,FN869553=2008-01-01,JN808857=2008-01-01,JN808864=2010-01-01,MH396625=2018-05-17,MH523642=2018-05-17,MH891774=2018-05-17,MK575060=2013-04-11,MK575061=2013-04-11,MK575062=2013-04-11,MK575067=2013-04-11,MK575068=2013-04-11,MK673559=1999-03-25,MK673565=2004-02-09,MK673566=2004-03-29,MK673567=2004-04-19,MK673568=2008-02-28,MK673570=2011-02-11,MK673571=2011-02-01,MK673572=2011-02-01,MK673576=2011-01-01,MK673578=2011-03-08,MK673579=2012-01-20,MK673580=2012-01-20,MK673581=2012-01-21,MK673582=2012-04-05,MK673583=2013-01-22,MK673584=2015-01-05,MK673585=2015-03-18,MK673586=2015-03-21,MK673587=2015-01-19,MK673588=2015-02-27,MK673589=2014-02-06,MK673590=2014-02-07,MK673591=2014-02-04,MK673592=2014-01-20,MK801755=2003-01-01,MN549402=2019-06-10,MN549403=2019-06-10,MN549404=2019-06-10,MN549405=2019-06-10,MN549406=2019-06-10,MN549407=2019-06-10,MN549409=2019-06-10,MN549410=2019-06-10,MW535746=2017-05-21">
#                    <taxa id="TaxonSet.P_deduplicated_no_nonsense" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.P_deduplicated_no_nonsense"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:P_deduplicated_no_nonsense" name="distribution" x="@birthRate.t:P_deduplicated_no_nonsense">
#            <Uniform id="Uniform.4" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:P_deduplicated_no_nonsense" name="distribution">
#            <parameter id="clockRate.c:P_deduplicated_no_nonsense" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	YuleModel	birthRate
39000	-405.2020095510696	NaN	-405.2020095510696	NaN	5099.394557821197	6.1263732894330894E35	-405.2020095510696	5.275211461839578E-4
40000	-437.1779357592458	NaN	-437.1779357592458	NaN	11066.850731888208	6.557347453706321E35	-437.1779357592458	3.704899982404369E-4
41000	-413.8745482964234	NaN	-413.8745482964234	NaN	5578.376276165597	1.6577788757770861E38	-413.8745482964234	6.455711582007696E-4
42000	-398.3126679237164	NaN	-398.3126679237164	NaN	3424.045453971261	5.243887248717877E41	-398.3126679237164	7.048574265968569E-4
43000	-393.53928484294914	NaN	-393.53928484294914	NaN	3576.0509841873945	3.597488254212013E45	-393.53928484294914	8.331353100275318E-4
44000	-400.22376154349297	NaN	-400.22376154349297	NaN	3905.8766698331146	2.723071638937994E50	-400.22376154349297	0.0011503361485688522
45000	-381.4380935535248	NaN	-381.4380935535248	NaN	3379.1463276830345	1.0566076458796994E51	-381.4380935535248	9.93571952272076E-4
46000	-362.80128429849793	NaN	-362.80128429849793	NaN	2299.825931831937	8.46560425358409E53	-362.80128429849793	0.0019638758439395605
47000	-399.93489957413954	NaN	-399.93489957413954	NaN	3924.6477839358263	2.7460471745403747E59	-399.93489957413954	0.0011357186051957227
48000	-368.0129920229309	NaN	-368.0129920229309	NaN	2252.446861689842	4.831736954727462E62	-368.0129920229309	0.00128974411253153
49000	-367.4607785157883	NaN	-367.4607785157883	NaN	2077.58711904292	8.917046608350694E69	-367.4607785157883	0.0017254455873310412
50000	-381.2427435188605	NaN	-381.2427435188605	NaN	2893.9257097303052	3.284933150441517E72	-381.2427435188605	0.0011945604451645987
51000	-369.3031536899675	NaN	-369.3031536899675	NaN	3164.458426491205	7.36059009112651E74	-369.3031536899675	0.0012783451831811206
52000	-344.1609852354533	NaN	-344.1609852354533	NaN	1519.0965589650125	8.353006409355818E76	-344.1609852354533	0.0023637097007650244
53000	-366.01488091727265	NaN	-366.01488091727265	NaN	2549.0125379079936	3.6835097195153018E78	-366.01488091727265	0.0017002888490228103
54000	-383.65520602451375	NaN	-383.65520602451375	NaN	3967.6946391094284	5.924895290474926E80	-383.65520602451375	9.809168027337086E-4
55000	-388.9971711148134	NaN	-388.9971711148134	NaN	3079.8767262946362	7.006632724496368E83	-388.9971711148134	9.391875270955787E-4
56000	-359.2712083141403	NaN	-359.2712083141403	NaN	1915.3780335406568	1.5229382363839114E88	-359.2712083141403	0.0017968084976808863
57000	-319.36973060180253	NaN	-319.36973060180253	NaN	708.3033397132019	1.6122065458916244E92	-319.36973060180253	0.004044390697696406
58000	-304.81175284078563	NaN	-304.81175284078563	NaN	462.2889196981807	2.174595416015767E96	-304.81175284078563	0.005686009941851988
59000	-289.8856261273524	NaN	-289.8856261273524	NaN	374.22200011337384	2.331648136964524E98	-289.8856261273524	0.00654965190123098
60000	-297.4816131658934	NaN	-297.4816131658934	NaN	494.5294886296639	2.961774621088841E103	-297.4816131658934	0.006445669590106528
61000	-317.9961615230644	NaN	-317.9961615230644	NaN	778.446969690312	4.728597837778531E105	-317.9961615230644	0.0030939658234215308
62000	-314.27367407956194	NaN	-314.27367407956194	NaN	676.6683902713249	3.9856494298376893E105	-314.27367407956194	0.003590379071790027
63000	-327.13104526091814	NaN	-327.13104526091814	NaN	1221.1279500799083	4.334966062967997E108	-327.13104526091814	0.003891907050013151
64000	-335.0338618283149	NaN	-335.0338618283149	NaN	871.7005540320355	3.079485571436107E112	-335.0338618283149	0.002700741614347542
65000	-357.32550363492805	NaN	-357.32550363492805	NaN	1544.6452554827877	6.8528422011336745E118	-357.32550363492805	0.0023484127348482055
66000	-328.04440314406537	NaN	-328.04440314406537	NaN	838.0084543650773	2.0882629087129575E124	-328.04440314406537	0.004042182785539626
67000	-321.20842238705103	NaN	-321.20842238705103	NaN	835.4655424414652	4.07242893696723E127	-321.20842238705103	0.003581511576443273
68000	-359.9081501559144	NaN	-359.9081501559144	NaN	1924.9207084352715	3.668386905131358E133	-359.9081501559144	0.0017286239669370494
69000	-357.48378007087234	NaN	-357.48378007087234	NaN	1754.7913076181994	2.9916611481388557E133	-357.48378007087234	0.0019120250951860092
70000	-346.31663605819745	NaN	-346.31663605819745	NaN	1325.4217782759526	1.6456357182962085E137	-346.31663605819745	0.0029325540523411115
71000	-334.12220364531373	NaN	-334.12220364531373	NaN	1109.3529346105063	6.846069779093718E139	-334.12220364531373	0.0023890760285613833
72000	-360.1082636577321	NaN	-360.1082636577321	NaN	1813.874931149227	5.069419812341553E141	-360.1082636577321	0.0023617525680995335
73000	-346.8654265719521	NaN	-346.8654265719521	NaN	1581.9083238285102	5.053794082137712E142	-346.8654265719521	0.002428103237658932
74000	-373.7926007198305	NaN	-373.7926007198305	NaN	2503.450594692321	1.3510672483444949E147	-373.7926007198305	0.001412076062516918
75000	-345.8559432693521	NaN	-345.8559432693521	NaN	1384.8079306739387	1.4027025809468223E150	-345.8559432693521	0.002424697279569803
76000	-329.6579448250087	NaN	-329.6579448250087	NaN	1112.8583125229698	1.1545749844716615E154	-329.6579448250087	0.0029519965512422907
77000	-340.1981998968145	NaN	-340.1981998968145	NaN	1492.5086694169452	2.9360868716461584E156	-340.1981998968145	0.0028143929896872256
78000	-321.4737510273649	NaN	-321.4737510273649	NaN	960.0277682407341	3.1548279443303594E159	-321.4737510273649	0.004440354661803496
79000	-328.9362452427303	NaN	-328.9362452427303	NaN	1037.957681018003	1.753719692432682E163	-328.9362452427303	0.003707914879221723
80000	-297.3194381994236	NaN	-297.3194381994236	NaN	534.1338395524982	4.6128517703412E167	-297.3194381994236	0.008024635814521872
81000	-308.63073803754895	NaN	-308.63073803754895	NaN	640.5472213437033	7.26216657060909E169	-308.63073803754895	0.004490945117162548
82000	-350.396240026296	NaN	-350.396240026296	NaN	1609.2549998589927	4.681288804755965E170	-350.396240026296	0.0025284505962297047
83000	-367.459799275403	NaN	-367.459799275403	NaN	2807.9391332162654	3.688070774208116E175	-367.459799275403	0.0014353130831367784
84000	-378.6399518177739	NaN	-378.6399518177739	NaN	3646.2304878746404	4.229708922214053E178	-378.6399518177739	0.0014091498053244798
85000	-398.32389253648006	NaN	-398.32389253648006	NaN	3294.926550089599	1.6997427158164958E181	-398.32389253648006	6.694307123866203E-4
86000	-338.8461992126427	NaN	-338.8461992126427	NaN	1118.7009367603612	1.7528459420308676E184	-338.8461992126427	0.0024823946326040847
87000	-337.13608519142196	NaN	-337.13608519142196	NaN	1163.5085691171657	1.3293997077280524E187	-337.13608519142196	0.003225605352057326
88000	-307.5697717114977	NaN	-307.5697717114977	NaN	753.7389519271567	2.306052340305567E189	-307.5697717114977	0.00600089298886008
89000	-324.48348543200956	NaN	-324.48348543200956	NaN	1355.8186109641465	2.5006946815985554E190	-324.48348543200956	0.004006684351169883
90000	-295.5016119061971	NaN	-295.5016119061971	NaN	489.0315658054959	1.2259185054571336E193	-295.5016119061971	0.007095951767436989
91000	-292.6485318210642	NaN	-292.6485318210642	NaN	518.0820824705103	5.782442247809914E194	-292.6485318210642	0.007035214044633251
92000	-282.50669262843275	NaN	-282.50669262843275	NaN	355.6634359615585	1.0751187427600993E200	-282.50669262843275	0.0097574671059169
93000	-307.52321928461566	NaN	-307.52321928461566	NaN	649.7375741439154	2.4542598076797194E200	-307.52321928461566	0.004685182990323247
94000	-347.6699369074749	NaN	-347.6699369074749	NaN	1720.9078117190036	1.6358385459391668E204	-347.6699369074749	0.0028104920877868294
95000	-366.4946069955379	NaN	-366.4946069955379	NaN	2474.7064719808313	2.4417436752877882E206	-366.4946069955379	0.0015729932834662923
96000	-348.1373635722232	NaN	-348.1373635722232	NaN	1250.0692579159393	9.76288835202753E211	-348.1373635722232	0.0020783361776734407
97000	-357.2987725489167	NaN	-357.2987725489167	NaN	1677.012291640857	3.8987549986663106E215	-357.2987725489167	0.0021542235243714085
98000	-296.8063683159706	NaN	-296.8063683159706	NaN	491.2794251335462	1.3327546658807532E218	-296.8063683159706	0.006248644965163652
99000	-308.1031524886059	NaN	-308.1031524886059	NaN	557.803976128457	1.7887187139686287E219	-308.1031524886059	0.004352684663022738
100000	-328.9992124513548	NaN	-328.9992124513548	NaN	857.6221233060649	1.5916656840749436E221	-328.9992124513548	0.004315984576081472
101000	-295.75408280761184	NaN	-295.75408280761184	NaN	400.14463180124454	5.317330768907777E222	-295.75408280761184	0.007247258118023934
102000	-294.06946220823085	NaN	-294.06946220823085	NaN	419.55679098778114	5.596878282362089E224	-294.06946220823085	0.006009181466865957
103000	-284.2925242583522	NaN	-284.2925242583522	NaN	404.5604753478919	9.920429302920267E227	-284.2925242583522	0.00778945451693088
104000	-331.3952474376121	NaN	-331.3952474376121	NaN	917.7154584643381	3.784725490634233E228	-331.3952474376121	0.004041567317831371
105000	-312.8575004966645	NaN	-312.8575004966645	NaN	1021.1672472227001	9.086944652495591E229	-312.8575004966645	0.004170141487515931
106000	-318.22375201004496	NaN	-318.22375201004496	NaN	918.5120877118333	4.119419491186512E235	-318.22375201004496	0.00390601356768028
107000	-366.3037370132156	NaN	-366.3037370132156	NaN	2069.7929451446716	4.791860457798076E237	-366.3037370132156	0.0016959994199598752
108000	-337.6569652951648	NaN	-337.6569652951648	NaN	1293.8481705680465	2.0179947525145595E239	-337.6569652951648	0.0036546828463119773
109000	-344.23474174022687	NaN	-344.23474174022687	NaN	1228.3102142973087	1.9035166247472324E244	-344.23474174022687	0.0019688099546711665
110000	-338.0827269368524	NaN	-338.0827269368524	NaN	1382.8943510045153	2.3747935849366832E246	-338.0827269368524	0.0026696205988500413
111000	-367.3398892846216	NaN	-367.3398892846216	NaN	2368.468219585409	4.126230802433615E248	-367.3398892846216	0.0017173931022435472
112000	-406.3942116638453	NaN	-406.3942116638453	NaN	4793.740875677784	7.621859026335148E250	-406.3942116638453	7.033308199970787E-4
113000	-416.00636360715316	NaN	-416.00636360715316	NaN	5832.587479207028	5.4613733186673845E255	-416.00636360715316	6.069390691157964E-4
114000	-401.5872389703973	NaN	-401.5872389703973	NaN	4599.185674709851	2.4808668223444873E260	-401.5872389703973	8.032080760928754E-4
115000	-355.2025001538561	NaN	-355.2025001538561	NaN	1944.205522157468	2.6713953540370782E265	-355.2025001538561	0.0016662209465851938
116000	-337.4098638307009	NaN	-337.4098638307009	NaN	1271.9502253026642	2.4188785487519947E267	-337.4098638307009	0.003118558362999414
117000	-350.0751900922708	NaN	-350.0751900922708	NaN	1645.725514244607	7.306893969346278E270	-350.0751900922708	0.0023781690071811804
118000	-361.2456525003013	NaN	-361.2456525003013	NaN	1784.9369761148312	1.4985268844606246E274	-361.2456525003013	0.0016451519018894608
119000	-383.5755696341612	NaN	-383.5755696341612	NaN	2348.5405652336017	8.017969972065921E276	-383.5755696341612	0.0013388561032125713
120000	-333.1296076365523	NaN	-333.1296076365523	NaN	787.0775112055852	5.223805210916637E278	-333.1296076365523	0.0023317516004758942
121000	-327.579539861981	NaN	-327.579539861981	NaN	1112.5515203149002	1.2919420146166278E279	-327.579539861981	0.0032751403092401137
122000	-320.2505702717938	NaN	-320.2505702717938	NaN	905.364845459176	9.447441241108882E281	-320.2505702717938	0.004308353889283859
123000	-292.8479283898506	NaN	-292.8479283898506	NaN	435.72279379552197	1.9212284970552708E288	-292.8479283898506	0.006314954593504502
124000	-328.3101565635708	NaN	-328.3101565635708	NaN	895.8035773003684	2.1268924981359074E292	-328.3101565635708	0.0038637209584264144
125000	-331.2615478346688	NaN	-331.2615478346688	NaN	939.6703873179841	3.0417738623298916E299	-331.2615478346688	0.0026217891881305275
126000	-309.7355737264043	NaN	-309.7355737264043	NaN	612.4185011131424	7.199922006794638E305	-309.7355737264043	0.004788779455277199
127000	-318.66296926229325	NaN	-318.66296926229325	NaN	815.1562157288588	6.104532851400938E307	-318.66296926229325	0.004471663539048417
128000	-370.37962691068066	NaN	-370.37962691068066	NaN	2389.573935492001	Infinity	-370.37962691068066	0.0014814074582852922
129000	-341.0439249789482	NaN	-341.0439249789482	NaN	1435.2996489035127	Infinity	-341.0439249789482	0.002718364943578815
130000	-372.61439256517747	NaN	-372.61439256517747	NaN	2866.145374000906	Infinity	-372.61439256517747	0.002060137499580768
131000	-380.9462213801947	NaN	-380.9462213801947	NaN	3005.780180676083	Infinity	-380.9462213801947	0.001146875126667877
132000	-383.9983646234684	NaN	-383.9983646234684	NaN	3000.650040663387	Infinity	-383.9983646234684	0.001112044095879708
133000	-328.6114364212905	NaN	-328.6114364212905	NaN	902.4139466356648	Infinity	-328.6114364212905	0.004019246588199527
134000	-328.6873885884383	NaN	-328.6873885884383	NaN	987.1522109725876	Infinity	-328.6873885884383	0.003733986963540051
135000	-314.6265615266882	NaN	-314.6265615266882	NaN	737.968227598028	Infinity	-314.6265615266882	0.004473160809150669
136000	-327.3198284735307	NaN	-327.3198284735307	NaN	1103.458030769334	Infinity	-327.3198284735307	0.004984402900472824
137000	-317.4943806677488	NaN	-317.4943806677488	NaN	1160.2675610476167	Infinity	-317.4943806677488	0.004818254351770289
138000	-289.72891863083964	NaN	-289.72891863083964	NaN	424.9310235204945	Infinity	-289.72891863083964	0.0066319196225872006
139000	-314.1832218073165	NaN	-314.1832218073165	NaN	657.8356829782538	Infinity	-314.1832218073165	0.004885977058262704
140000	-322.60594620533504	NaN	-322.60594620533504	NaN	961.9518051792899	Infinity	-322.60594620533504	0.00354409347182847
141000	-339.4364535370334	NaN	-339.4364535370334	NaN	1541.3225765208408	Infinity	-339.4364535370334	0.0031967227179345624
142000	-322.12882589623473	NaN	-322.12882589623473	NaN	739.362564307636	Infinity	-322.12882589623473	0.0032502032430566327
143000	-369.20129836587677	NaN	-369.20129836587677	NaN	2512.8373382911386	Infinity	-369.20129836587677	0.0013736109325249977
144000	-409.1446068705959	NaN	-409.1446068705959	NaN	4824.021092249061	Infinity	-409.1446068705959	5.625435668130429E-4
145000	-363.35620489733384	NaN	-363.35620489733384	NaN	1867.3499446762617	Infinity	-363.35620489733384	0.001467088470173336
146000	-351.76711990264545	NaN	-351.76711990264545	NaN	1561.8037830793344	Infinity	-351.76711990264545	0.002152494886627473
147000	-393.3922215875695	NaN	-393.3922215875695	NaN	4479.071806398765	Infinity	-393.3922215875695	9.363511082656178E-4
148000	-436.1194073832459	NaN	-436.1194073832459	NaN	16406.487625952082	Infinity	-436.1194073832459	4.0529947281237245E-4
149000	-383.8080646141961	NaN	-383.8080646141961	NaN	3598.911623784821	Infinity	-383.8080646141961	0.0010050940603413248
150000	-363.91961203059776	NaN	-363.91961203059776	NaN	1745.8894064602096	Infinity	-363.91961203059776	0.001489254954589119
151000	-389.60375059343824	NaN	-389.60375059343824	NaN	3726.1063679977938	Infinity	-389.60375059343824	9.767375304388778E-4
152000	-386.72102199304015	NaN	-386.72102199304015	NaN	3894.825759558314	Infinity	-386.72102199304015	0.0010181821391815852
153000	-390.4892912486538	NaN	-390.4892912486538	NaN	3088.8772771454405	Infinity	-390.4892912486538	9.21537597411169E-4
154000	-363.8264664672716	NaN	-363.8264664672716	NaN	1826.5743860743564	Infinity	-363.8264664672716	0.0011986118168503194
155000	-398.92729582688844	NaN	-398.92729582688844	NaN	4841.807428686903	Infinity	-398.92729582688844	7.082318225161238E-4
156000	-371.96462728371483	NaN	-371.96462728371483	NaN	2109.257462448278	Infinity	-371.96462728371483	0.00110604995687201
157000	-364.147235997223	NaN	-364.147235997223	NaN	1745.5451670680143	Infinity	-364.147235997223	0.0015119459509025251
158000	-364.7098475138465	NaN	-364.7098475138465	NaN	1916.8836337410876	Infinity	-364.7098475138465	0.0017179259792881227
159000	-345.8905089799188	NaN	-345.8905089799188	NaN	1346.1931008103113	Infinity	-345.8905089799188	0.002044424744628855
160000	-317.8189799230396	NaN	-317.8189799230396	NaN	1097.2116913073062	Infinity	-317.8189799230396	0.004341214965096869
161000	-290.65304677830477	NaN	-290.65304677830477	NaN	535.0618822042097	Infinity	-290.65304677830477	0.007372987973480782
162000	-324.75333408843886	NaN	-324.75333408843886	NaN	1031.488386674392	Infinity	-324.75333408843886	0.004419662030374322
163000	-316.03066245039275	NaN	-316.03066245039275	NaN	937.0118428788709	Infinity	-316.03066245039275	0.004438853446863517
164000	-331.074448205744	NaN	-331.074448205744	NaN	1016.0303950805799	Infinity	-331.074448205744	0.0037239771895291405
165000	-316.95277544689895	NaN	-316.95277544689895	NaN	719.7535453698576	Infinity	-316.95277544689895	0.0037945702545804923
166000	-314.5306864857063	NaN	-314.5306864857063	NaN	814.9691771093799	Infinity	-314.5306864857063	0.004614474996264351
167000	-342.1220645749426	NaN	-342.1220645749426	NaN	1207.4153796838411	Infinity	-342.1220645749426	0.0020259904107816336
168000	-340.848889807305	NaN	-340.848889807305	NaN	1512.2773887184271	Infinity	-340.848889807305	0.002950012964971619
169000	-346.55233138187515	NaN	-346.55233138187515	NaN	1948.3133825738596	Infinity	-346.55233138187515	0.002310995918575788
170000	-359.4615109974044	NaN	-359.4615109974044	NaN	1822.1869212093736	Infinity	-359.4615109974044	0.0018208395841258847
171000	-321.4457843628712	NaN	-321.4457843628712	NaN	935.6412188246533	Infinity	-321.4457843628712	0.0041722620122284166
172000	-304.2299966198595	NaN	-304.2299966198595	NaN	546.2327459830728	Infinity	-304.2299966198595	0.005824381398255024
173000	-335.92885611544955	NaN	-335.92885611544955	NaN	1239.38534276261	Infinity	-335.92885611544955	0.002587807762541067
174000	-343.5856985480553	NaN	-343.5856985480553	NaN	1172.7363597091512	Infinity	-343.5856985480553	0.0025217758154362797
