#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:P_deduplicated_no_nonsense" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:P_deduplicated_no_nonsense" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:P_deduplicated_no_nonsense" spec="beast.evolution.tree.Tree">
#                <trait dateFormat="yyyy-M-dd" id="dateTrait.t:P_deduplicated_no_nonsense" spec="beast.evolution.tree.TraitSet" traitname="date" value="AF212302=1999-12-08,AF376747=2001-05-04,AJ627196=2004-02-10,AY988601=2004-01-01,FJ513078=2007-01-01,FN869553=2008-01-01,JN808857=2008-01-01,JN808864=2010-01-01,MH396625=2018-05-17,MH523642=2018-05-17,MH891774=2018-05-17,MK575060=2013-04-11,MK575061=2013-04-11,MK575062=2013-04-11,MK575067=2013-04-11,MK575068=2013-04-11,MK673559=1999-03-25,MK673565=2004-02-09,MK673566=2004-03-29,MK673567=2004-04-19,MK673568=2008-02-28,MK673570=2011-02-11,MK673571=2011-02-01,MK673572=2011-02-01,MK673576=2011-01-01,MK673578=2011-03-08,MK673579=2012-01-20,MK673580=2012-01-20,MK673581=2012-01-21,MK673582=2012-04-05,MK673583=2013-01-22,MK673584=2015-01-05,MK673585=2015-03-18,MK673586=2015-03-21,MK673587=2015-01-19,MK673588=2015-02-27,MK673589=2014-02-06,MK673590=2014-02-07,MK673591=2014-02-04,MK673592=2014-01-20,MK801755=2003-01-01,MN549402=2019-06-10,MN549403=2019-06-10,MN549404=2019-06-10,MN549405=2019-06-10,MN549406=2019-06-10,MN549407=2019-06-10,MN549409=2019-06-10,MN549410=2019-06-10,MW535746=2017-05-21">
#                    <taxa id="TaxonSet.P_deduplicated_no_nonsense" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.P_deduplicated_no_nonsense"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:P_deduplicated_no_nonsense" name="distribution" x="@birthRate.t:P_deduplicated_no_nonsense">
#            <Uniform id="Uniform.4" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:P_deduplicated_no_nonsense" name="distribution">
#            <parameter id="clockRate.c:P_deduplicated_no_nonsense" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	YuleModel	birthRate
0	-412.6399060866009	NaN	-412.6399060866009	NaN	23.602631205758446	1.0	-412.6399060866009	1.0
1000	-170.23130141568944	NaN	-170.23130141568944	NaN	25.35482024508541	7.087273483820085	-170.23130141568944	0.13889021220637118
2000	-217.4471802642989	NaN	-217.4471802642989	NaN	84.73636638397204	1.684591319764278	-217.4471802642989	0.03032077229599743
3000	-238.1949159357999	NaN	-238.1949159357999	NaN	168.5508202905454	2.136937763475392	-238.1949159357999	0.024609582146883018
4000	-252.88253197590694	NaN	-252.88253197590694	NaN	168.7076460826149	6.601374636290921	-252.88253197590694	0.013828979274124758
5000	-258.0775538958423	NaN	-258.0775538958423	NaN	180.1998565089956	13.3611135403675	-258.0775538958423	0.014095665949576714
6000	-291.8191878670705	NaN	-291.8191878670705	NaN	500.3006155534237	11.188465119625773	-291.8191878670705	0.00608404435449438
7000	-299.57768119211823	NaN	-299.57768119211823	NaN	720.3301384296965	22.766413117752457	-299.57768119211823	0.006672543167854308
8000	-305.24786828571246	NaN	-305.24786828571246	NaN	542.569675573431	15.470702345908075	-305.24786828571246	0.006743054165694243
9000	-321.68810859222987	NaN	-321.68810859222987	NaN	908.8776349026429	49.041280733682	-321.68810859222987	0.005218792576501434
10000	-317.06800648887577	NaN	-317.06800648887577	NaN	711.0703607448936	82.7302275765961	-317.06800648887577	0.004768615900492243
11000	-302.80188709285045	NaN	-302.80188709285045	NaN	491.487518939401	217.94457117211232	-302.80188709285045	0.0048197556214412485
12000	-320.6572567306315	NaN	-320.6572567306315	NaN	603.8504525256844	541.7651096240828	-320.6572567306315	0.0033926236905483147
13000	-305.503979776103	NaN	-305.503979776103	NaN	599.293378978298	5028.313827133094	-305.503979776103	0.004700591747135387
14000	-302.200289728646	NaN	-302.200289728646	NaN	584.6643262606252	17365.259494728758	-302.200289728646	0.005521556505207301
15000	-301.66179110035296	NaN	-301.66179110035296	NaN	444.859094486336	63727.17553498483	-301.66179110035296	0.006599529464400258
16000	-316.9290664887789	NaN	-316.9290664887789	NaN	620.7283751025581	35914.78622072815	-316.9290664887789	0.005156815646337887
17000	-336.9366289453746	NaN	-336.9366289453746	NaN	922.6007667696614	517691.3725296344	-336.9366289453746	0.00239590120146213
18000	-322.6970852959176	NaN	-322.6970852959176	NaN	687.8567760994976	2874967.688432569	-322.6970852959176	0.0035744014214603554
19000	-322.38407154824864	NaN	-322.38407154824864	NaN	754.6565890230643	2907345.639868663	-322.38407154824864	0.004076400209574987
20000	-314.57289875463033	NaN	-314.57289875463033	NaN	807.3722665778303	2994077.093165112	-314.57289875463033	0.004980990630397364
21000	-324.50747140551806	NaN	-324.50747140551806	NaN	1005.9255840298391	2303988.4585390994	-324.50747140551806	0.0033647757287331185
22000	-325.6529398342907	NaN	-325.6529398342907	NaN	836.2047691550824	3834488.088830603	-325.6529398342907	0.003314649846568645
23000	-290.3038147706131	NaN	-290.3038147706131	NaN	651.9678897733537	1.3041195710280709E7	-290.3038147706131	0.006393319048624429
24000	-321.1899556247273	NaN	-321.1899556247273	NaN	1031.007458209024	2.9162429566507123E7	-321.1899556247273	0.0036021063998070944
25000	-323.82069433830003	NaN	-323.82069433830003	NaN	1077.1524106975562	7.627022309116542E7	-323.82069433830003	0.0032440168662126695
26000	-376.3255712328042	NaN	-376.3255712328042	NaN	3130.5977115962446	4.6698589367356434E7	-376.3255712328042	0.0018918519201292653
27000	-402.8157221977962	NaN	-402.8157221977962	NaN	5656.503163430309	9.472877939557116E7	-402.8157221977962	9.654956589826108E-4
28000	-371.7254368118378	NaN	-371.7254368118378	NaN	3053.341236511758	1.377327372669746E8	-371.7254368118378	0.0012365273410822057
29000	-375.0470917750774	NaN	-375.0470917750774	NaN	3068.8819997705746	3.2354663307853146E9	-375.0470917750774	0.0013907122674435405
30000	-372.521992069292	NaN	-372.521992069292	NaN	2913.594321126957	3.575203959260381E13	-372.521992069292	0.001496640012661979
31000	-415.001733917229	NaN	-415.001733917229	NaN	5894.320640019604	4.0680382256479539E17	-415.001733917229	5.931615926339014E-4
32000	-422.76496218015416	NaN	-422.76496218015416	NaN	8463.010939730339	9.637303227357973E21	-422.76496218015416	5.049861246023477E-4
33000	-445.3524694943633	NaN	-445.3524694943633	NaN	9680.03497337486	8.029975130540676E24	-445.3524694943633	2.69233289050694E-4
34000	-428.6369049189291	NaN	-428.6369049189291	NaN	5847.0906208740325	1.5362996883667242E26	-428.6369049189291	4.608162383129365E-4
35000	-417.74533045324864	NaN	-417.74533045324864	NaN	8791.060132210176	7.375739742831055E24	-417.74533045324864	5.222581621277154E-4
36000	-436.204963108947	NaN	-436.204963108947	NaN	9935.061838379484	5.25574697070142E29	-436.204963108947	4.122904919560539E-4
37000	-473.7093439349525	NaN	-473.7093439349525	NaN	22183.133597147524	1.199810795970621E31	-473.7093439349525	1.3108334122486053E-4
38000	-446.9698258672806	NaN	-446.9698258672806	NaN	11024.967816428274	3.641975658686342E33	-446.9698258672806	2.9591874955100714E-4
